733;100156;FD-DVS R-703\20X500U;Frozen -22;1;2018-04-17 04:00:49;2018-04-17 04:00:49
734;100157;FD-DVS R-704\20X500U;Frozen -22;1;2018-04-17 04:00:49;2018-04-17 04:00:49
735;100161;FD-DVS CHN-19\20X500U;Frozen -22;1;2018-04-17 04:00:49;2018-04-17 04:00:49
736;100163;FD-DVS FLORA DANICA\20X500U;Frozen -22;1;2018-04-17 04:00:49;2018-04-17 04:00:49
737;100194;FD-DVS ABY-1\25X200U;Frozen -22;1;2018-04-17 04:00:49;2018-04-17 04:00:49
738;100227;FD-DVS TCC-20\20X500U;Frozen -22;1;2018-04-17 04:00:49;2018-04-17 04:00:49
739;100242;FD-DVS RST-743\25X200U;Frozen -22;1;2018-04-17 04:00:49;2018-04-17 04:00:49
740;100259;FD-DVS YC-380\25X200U;Frozen -22;1;2018-04-17 04:00:49;2018-04-17 04:00:49
741;100409;FD-DVS RST-744\20X500U;Frozen -22;1;2018-04-17 04:00:49;2018-04-17 04:00:49
742;127202;CHY-MAX M 1000\6X1L;Cooled;1;2018-04-17 04:00:49;2018-04-17 04:00:49
743;117202;CUAJO XXX\6X1L;Cooled;1;2018-04-17 04:00:49;2018-04-17 04:00:49
744;127205;CHY-MAX M 1000\20L;Cooled;1;2018-04-17 04:00:49;2018-04-17 04:00:49
745;156231;CUAMIX COAGULANT\12X0.5L;Cooled;1;2018-04-17 04:00:49;2018-04-17 04:00:49
746;146327;3 Munecas Rojo\10X100 Sticks;Cooled;1;2018-04-17 04:00:49;2018-04-17 04:00:49
747;127203;CHY-MAX M 1000\6X1L;Cooled;1;2018-04-17 04:00:49;2018-04-17 04:00:49
748;156305;CUAMASE MAXIMUM\20L;Cooled;1;2018-04-17 04:00:49;2018-04-17 04:00:49
749;156102;BATALLA COAGULANT\6X1L;Cooled;1;2018-04-17 04:00:49;2018-04-17 04:00:49
750;450804;Ha-Lactase 5200\5L;Cooled;1;2018-04-17 04:00:49;2018-04-17 04:00:49
751;117402;CHY-MAX Plus\6X1L;Cooled;1;2018-04-17 04:00:49;2018-04-17 04:00:49
752;191204;YieldMAX PL\5L;Cooled;1;2018-04-17 04:00:49;2018-04-17 04:00:49
753;201026;SWING SALSA-1\10U;Frozen -22;1;2018-04-17 04:00:49;2018-04-17 04:00:49
754;242531;A-720-WS-AP \ 5KG;Cooled;1;2018-04-17 04:00:49;2018-04-17 04:00:49
755;243231;T-PT8-WS \ 5KG;Cooled;1;2018-04-17 04:00:49;2018-04-17 04:00:49
756;244131;CT-7020-WS-AP \ 5KG;Cooled;1;2018-04-17 04:00:49;2018-04-17 04:00:49
757;245131;C-10,000P-WS-AP \ 5kg;Cooled;1;2018-04-17 04:00:49;2018-04-17 04:00:49
758;245422;C-100,000-WS-P\1KG;Cooled;1;2018-04-17 04:00:49;2018-04-17 04:00:49
759;246600;B-50-WS\14KG;Cooled;1;2018-04-17 04:00:49;2018-04-17 04:00:49
760;248000;CV-100-WDI \ 10KG;Cooled;1;2018-04-17 04:00:49;2018-04-17 04:00:49
761;248339;CO-820-WS-AP \ 25KG;Cooled;1;2018-04-17 04:00:49;2018-04-17 04:00:49
